theta,x_p_A,y_p_A,d_A,k,xi_p,eta_p,delta,tau_s,tau_ns,tau_ps,tau_log10_s,tau_ratio,phi,phi_inv2
-0.365,0.8658762388353269,-0.35694929447691137,0.9365652458890288,-0.41224054716761466,8.658762388353269,-3.5694929447691135,9.365652458890287,0.00012279522109550278,122795.22109550278,122795221.09550278,-3.910818534597441,439.8654817607304,1.618033988749895,0.38196601125010515
-0.364,0.8655197566621833,-0.3560149923968016,0.9358798662135326,-0.41133086755841214,8.655197566621831,-3.560149923968016,9.358798662135325,0.00011883103783027732,118831.03783027732,118831037.83027732,-3.9250701098776912,425.66535763383075,1.618033988749895,0.38196601125010515
-0.363,0.865164208969205,-0.35508033430172914,0.9351957828653517,-0.4104195834970885,8.65164208969205,-3.550803343017291,9.351957828653516,0.0001150045993907174,115004.5993907174,115004599.3907174,-3.9392847905153863,411.9586500549114,1.618033988749895,0.38196601125010515
-0.362,0.8648095961119399,-0.35414532112635194,0.9345129993761369,-0.40950669687124036,8.648095961119399,-3.5414532112635193,9.345129993761368,0.00011131083484062967,111310.83484062967,111310834.84062967,-3.9534625599916495,398.72719439368984,1.618033988749895,0.38196601125010515
-0.361,0.8644559184450007,-0.35320995380568315,0.9338315192806476,-0.4085922095843172,8.644559184450006,-3.532099538056831,9.338315192806474,0.00010774486917959397,107744.86917959397,107744869.17959397,-3.967603401817298,385.9535278825659,1.618033988749895,0.38196601125010515
-0.36,0.8641031763220652,-0.35227423327508994,0.9331513461167136,-0.4076761235556339,8.641031763220651,-3.5227423327508993,9.331513461167136,0.00010430201544880019,104302.01544880019,104302015.44880019,-3.981707299532859,373.6208613388937,1.618033988749895,0.38196601125010515
-0.359,0.8637513700958753,-0.35133816047029287,0.9324724834251953,-0.4067584407203832,8.637513700958753,-3.5133816047029285,9.324724834251953,0.00010097776716689154,100977.76716689154,100977767.16689155,-3.9957742367086557,361.7130520693717,1.618033988749895,0.38196601125010515
-0.358,0.8634005001182373,-0.3504017363273646,0.931794934749945,-0.4058391630296476,8.634005001182373,-3.504017363273646,9.31794934749945,9.776779108159381e-05,97767.79108159381,97767791.08159381,-4.009804196944803,350.2145779056111,1.618033988749895,0.38196601125010515
-0.357,0.8630505667400211,-0.3494649617827292,0.9311187036377672,-0.4049182924504114,8.630505667400211,-3.4946496178272914,9.311187036377671,9.466792022346353e-05,94667.92022346353,94667920.22346354,-4.023797163871268,339.1105123219264,1.618033988749895,0.38196601125010515
-0.356,0.8627015703111601,-0.3485278377731611,0.9304437936383779,-0.4039958309655721,8.627015703111601,-3.485278377731611,9.30443793638378,9.167414724875897e-05,91674.14724875896,91674147.24875897,-4.037753121147898,328.3865005887947,1.618033988749895,0.38196601125010515
