theta_rad,theta_deg,xp_A,yp_A,d_A,k,A,B,C,G,lambda,S0,xi0,xi1,f,beta,delta,exponent,tau_p_s,Omega_rad_s,nu_tunnel_Hz
0.05305800926062765,3.040000000000002,0.9014072459925548,0.25303311836792186,0.9362482481259321,0.2807089908505259,0.9985937441780869,0.5014062558219129,0.07943773158693884,0.9954573294278722,0.49699242595895765,1.277886208492545,0.9174129688694425,-0.21809127696125827,7.703478570893092,0.10443372969969975,9.36248248125932,168.9186137581511,1.7334436499019148e+59,1.812341955140888e-59,2.884431807335024e-60
0.05340707511102649,3.0600000000000005,0.9014258188804902,0.2533816897587605,0.9363603941054786,0.28108989608645046,0.9985751975992498,0.5014248024007504,0.07995836570644495,0.995309053837447,0.49696724856943875,1.277886208492545,0.9172550391965791,-0.21811561822089395,7.707533748087621,0.10443092098400966,9.363603941054786,169.04794179960555,1.9731084293208142e+59,1.592204770353749e-59,2.534072596162952e-60
0.053756140961425336,3.079999999999999,0.9014445134416608,0.25373025464520216,0.9364727721276213,0.2814707404191472,0.9985565298678808,0.5014434701321191,0.08047896085521494,0.9951603065954979,0.49694200168327624,1.277886208492545,0.9170970399526324,-0.2181399379727794,7.7115934166187,0.10442808888214258,9.364727721276212,169.17749950493956,2.246425204021427e+59,1.3984853125605458e-59,2.2257585033542514e-60
0.05410520681182418,3.099999999999998,0.9014633296737883,0.25407881298477525,0.9365853820951433,0.2818515236517924,0.9985377409930788,0.5014622590069211,0.08099951677951708,0.9950110880169126,0.49691668532175176,1.277886208492545,0.9169389710773382,-0.2181642361099913,7.715657581658858,0.10442523340701475,9.365853820951433,169.3072871935316,2.5581906105044994e+59,1.228052609015808e-59,1.954506431017645e-60
0.054454272662223024,3.1199999999999966,0.9014822675745802,0.25442736473500904,0.9366982239106725,0.28223224558763726,0.9985188309840012,0.5014811690159989,0.08152003322563875,0.9948613984175338,0.49689129950620886,1.277886208492545,0.9167808325096019,-0.2181885125255888,7.719726248406261,0.10442235457158916,9.366982239106724,169.4373051857205,2.9138950357719e+59,1.0781420109587356e-59,1.7159163039911917e-60
0.05480333851262198,3.140000000000002,0.901501327141729,0.2547759098534337,0.9368112974766817,0.28261290603000877,0.9984997998498643,0.5015002001501357,0.08204050993988668,0.9947112381141593,0.4968658442580529,1.277886208492545,0.9166226241875024,-0.21821276711261384,7.7237994220846815,0.10441945238887557,9.368112974766817,169.56755380280592,3.319824392941658e+59,9.463129014502073e-60,1.506103759774341e-60
0.055152404363020824,3.1600000000000006,0.9015205083729123,0.2551244482975797,0.9369246026954883,0.28299350478230934,0.9984806475999438,0.5015193524000563,0.08256094666858656,0.9945606074245417,0.4968403195987512,1.277886208492545,0.9164643460482979,-0.2182369997640918,7.727877107943501,0.10441652687193066,9.369246026954881,169.69803336704928,3.7831770360476263e+59,8.304112188394674e-60,1.321640502772669e-60
0.05550147021341967,3.1799999999999993,0.901539811265793,0.2554729800249789,0.9370381394692561,0.2833740416480178,0.9984613742435742,0.5015386257564258,0.08308134315808399,0.9944095066673854,0.4968147255498326,1.277886208492545,0.9163059980284325,-0.2182612103730322,7.731959311257633,0.10441357803385767,9.37038139469256,169.8287442016741,4.312198096640903e+59,7.285362553350732e-60,1.159501462582361e-60
0.05585053606381851,3.199999999999998,0.901559235818019,0.2558215049931638,0.9371519076999938,0.28375451643068933,0.998441979790149,0.5015580202098509,0.08360169915474405,0.9942579361623476,0.49678906213288815,1.277886208492545,0.9161475800635396,-0.21828539883242903,7.736046037327576,0.10441060588780662,9.371519076999938,169.95968663086734,4.916333873557261e+59,6.39011249924868e-60,1.0170179911687327e-60
0.056199601914217356,3.219999999999997,0.9015787820272235,0.2561700231596676,0.937265907289557,0.2841349289339558,0.9984224642491213,0.5015775357508788,0.08412201440495155,0.9941058962300356,0.4967633293695705,1.277886208492545,0.9159890920884485,-0.21830956503526108,7.74013729147931,0.10440761044697404,9.37265907289557,170.09086097977914,5.606409309911689e+59,5.603573481578852e-60,8.91836418571936e-61
0.05654866776461631,3.240000000000002,0.901598449891025,0.25651853448202455,0.9373801381396475,0.2845152789615262,0.9984028276300021,0.5015971723699979,0.08464228865511131,0.9939533871920072,0.4967375272815945,1.277886208492545,0.9158305340371894,-0.21833370887449322,7.744233079064329,0.10440459172460315,9.373801381396474,170.22226757452458,6.394832056547103e+59,4.91270548750908e-60,7.818813622917496e-61
0.056897733615015156,3.2600000000000007,0.9016182394070268,0.25686703891776946,0.937494600151814,0.28489556631718643,0.9983830699423625,0.5016169300576376,0.08516252165164767,0.9938004093707689,0.49671165589073646,1.277886208492545,0.9156719058429984,-0.21835783024307592,7.748333405459596,0.10440154973398365,9.37494600151814,170.35390674218385,7.295827158513754e+59,4.3060129925415784e-60,6.853232527809168e-61
0.057246799465414,3.2799999999999994,0.9016381505728177,0.2572155364244381,0.9376092932274522,0.28527579080480026,0.998363191195832,0.5016368088041682,0.08568271314100555,0.9936469630897745,0.4966857152188349,1.277886208492545,0.9155132074383239,-0.21838192903394663,7.75243827606751,0.10439848448845171,9.376092932274522,170.48577881080254,8.32570702214342e+59,3.7733644064513366e-60,6.005495973737459e-61
